Final_ell_b, Final_Db, Final_sDb
1.689030778336785943e+03,4.359313114293145759e+02,4.983091792023577327e+00
1.714030329542140635e+03,4.457590183447034633e+02,5.131553969466532195e+00
1.739029893647599920e+03,4.413788789716159613e+02,5.223131397199641590e+00
1.764029470104845586e+03,4.282058641521895197e+02,5.228744708857335333e+00
1.789029058396200071e+03,4.197790591531586415e+02,5.297962147416573231e+00
1.814530991735537100e+03,3.948587896013305567e+02,5.290803877934249222e+00
1.839028268551237034e+03,3.589070055496991927e+02,5.209255224245345595e+00
1.864027889514615481e+03,3.448222215148645660e+02,5.286519172722901061e+00
1.889027520508071348e+03,3.194125896377293543e+02,5.235124661048542016e+00
1.914027161138678821e+03,3.099270166436299974e+02,5.423632912151536978e+00
1.939026811033771992e+03,3.007887234052432746e+02,5.605080706176178929e+00
1.964026469839654283e+03,2.948507743139009563e+02,5.854671600397846731e+00
1.989026137220407463e+03,2.980634556571071698e+02,6.095150593109621262e+00
